word,splitted,freqcount,cdcount
anywhere,a-nyw-here,4501,3133
miles,miles,4500,2064
swear,swear,4496,2581
land,land,4494,2074
Mary,Ma-ry,4492,1054
missing,mis-sing,4484,2626
cute,cute,4475,2459
lying,ly-ing,4472,2733
master,mas-ter,4450,1322
dress,dress,4447,2186
key,key,4430,2165
strong,strong,4430,2684
fix,fix,4426,2576
interesting,in-te-resting,4421,2753
wearing,wea-ring,4410,2790
Johnny,Jo-hnny,4408,779
strange,strange,4408,2531
rock,rock,4394,1905
voice,voice,4394,2396
cop,cop,4393,1467
window,win-dow,4386,2442
bar,bar,4385,2220
totally,to-tal-ly,4377,2286
interested,in-te-rested,4374,2669
appreciate,ap-pre-cia-te,4373,2885
army,ar-my,4370,1506
paid,paid,4369,2639
short,short,4367,2823
record,re-cord,4365,2395
bought,bought,4362,2687
card,card,4357,2107
certain,cer-tain,4354,2654
college,col-lege,4344,1921
fly,fly,4335,2117
evidence,e-vi-dence,4335,1755
bank,bank,4334,1590
Besides,Be-sides,4328,2891
completely,com-ple-tely,4303,2679
ran,ran,4296,2870
cops,cops,4290,1694
test,test,4288,2095
history,his-tory,4280,2416
finished,fi-nished,4269,2777
born,born,4268,2565
proud,proud,4265,2621
fish,fish,4258,1708
join,join,4255,2707
lead,lead,4246,2517
smell,smell,4240,2396
near,near,4238,2814
apartment,a-par-tment,4235,1774
enjoy,en-joy,4222,2769
letter,let-ter,4213,1758
situation,si-tua-ti-on,4207,2505
trip,trip,4202,2366
Harry,Har-ry,4193,643
Mark,Mark,4183,1587
store,store,4178,2145
Yo,Yo,4177,1241
amazing,a-ma-zing,4167,2369
star,star,4149,1821
Danny,Dan-ny,4148,444
accident,ac-ci-dent,4146,2180
Il,Il,4139,427
imagine,i-ma-gine,4133,2727
Doc,Doc,4122,1078
ought,ought,4118,2110
pleasure,plea-sure,4118,2545
list,list,4110,2176
rich,rich,4100,2104
calls,calls,4097,2636
Jimmy,Jim-my,4091,723
service,ser-vice,4076,2407
entire,en-ti-re,4070,2627
difference,dif-ference,4066,2593
judge,judge,4063,1621
ice,ice,4057,1974
lawyer,la-wyer,4055,1686
fat,fat,4051,2046
Alright,Al-right,4044,671
instead,ins-tead,4043,2822
age,age,4039,2499
station,sta-tion,4033,2099
realize,rea-lize,4032,2604
gold,gold,4026,1533
seat,seat,4018,2443
liked,liked,4017,2522
hundred,hun-dred,4015,2138
summer,sum-mer,4012,1629
dollars,dol-lars,3998,1782
standing,stan-ding,3994,2702
Angel,An-gel,3992,1112
mess,mess,3985,2614
America,A-me-ri-ca,3974,1780
Chief,Chief,3973,1374
killing,kil-ling,3965,2381
radio,ra-d-io,3936,1624
hungry,hun-gry,3931,2441
problems,pro-blems,3931,2427
marriage,mar-riage,3930,1747
brain,brain,3928,1994
soul,soul,3925,2041
forgive,for-give,3917,2209
drunk,drunk,3904,2016
Henry,Hen-ry,3904,733
deep,deep,3896,2454
figured,fi-gured,3893,2533
likes,likes,3889,2561
girlfriend,girl-friend,3881,1946
folks,folks,3878,1954
slow,slow,3877,2389
private,pri-vate,3874,2257
during,du-ring,3872,2524
Ed,Ed,3858,662
attack,at-tack,3853,1957
beer,beer,3850,1805
definitely,de-fi-ni-tely,3848,2391
stopped,stopped,3844,2687
partner,par-tner,3836,1772
walking,wal-king,3826,2470
area,a-r-ea,3821,2159
dangerous,dan-ge-rous,3817,2386
offer,of-fer,3810,2371
scene,scene,3807,1771
third,third,3801,2351
upset,u-pset,3800,2354
bus,bus,3783,1546
owe,owe,3782,2353
shoes,shoes,3782,2019
driving,dri-ving,3780,2264
English,En-glish,3777,2007
Richard,Ric-hard,3765,779
group,group,3762,2097
ln,ln,3753,1032
kick,kick,3744,2163
evil,e-vil,3731,1598
Joey,Joe-y,3727,488
joke,joke,3724,2158
fell,fell,3723,2423
truck,truck,3716,1555
teach,teach,3715,2150
green,green,3696,1908
ground,ground,3696,2265
loves,loves,3695,2298
cash,cash,3694,1919
honest,ho-nest,3689,2331
forward,for-ward,3689,2341
boyfriend,boy-friend,3684,1829
park,park,3678,1875
single,sin-gle,3676,2377
position,po-si-tion,3676,2191
respect,res-pect,3644,2265
broken,bro-ken,3634,2409
crime,crime,3633,1782
wrote,wrote,3629,2021
public,pu-blic,3625,2107
Max,Max,3620,498
Mommy,Mom-my,3617,1329
Congratulations,Con-gra-tu-la-tions,3616,2248
grab,grab,3614,2392
art,art,3611,1601
fighting,figh-ting,3611,2056
favor,fa-vor,3609,2370
upstairs,ups-tairs,3607,2155
wall,wall,3605,2105
force,force,3604,1985
seconds,se-conds,3603,2000
jail,jail,3602,1705
push,push,3598,2103
prove,prove,3590,2261
normal,nor-mal,3589,2134
protect,pro-tect,3583,2161
machine,mac-hine,3583,1880
field,field,3580,1919
spent,spent,3574,2529
feels,feels,3569,2468
speaking,spea-king,3565,2326
named,named,3564,2359
jump,jump,3561,1973
saved,saved,3558,2339
starting,star-ting,3558,2500
nose,nose,3557,2125
hide,hide,3554,2348
sun,sun,3553,1957
church,church,3553,1340
peace,peace,3550,1867
Professor,Pro-fes-sor,3548,813
Bobby,Bob-by,3547,578
