ll: l-l
enemy: e-ne-my
greatest: grea-test
beauty: bea-uty
Tommy: Tom-my
lately: la-tely
advice: a-dvice
immediately: im-me-dia-te-ly
became: be-came
victim: vic-tim
Friday: Fri-day
flowers: flo-wers
Saturday: Sa-tur-day
driver: dri-ver
Apparently: Ap-pa-ren-tly
heavy: hea-vy
empty: emp-ty
comfortable: com-for-ta-ble
destroy: des-troy
mission: mis-sion
brothers: brot-hers
apart: a-part
Santa: San-ta
weapon: wea-pon
restaurant: res-taurant
simply: sim-ply
London: Lon-don
movies: mo-vies
necessary: ne-ces-sa-ry
themselves: them-selves
credit: cre-dit
center: cen-ter
practice: prac-tice
closer: clo-ser
discuss: dis-cuss
mister: mis-ter
Grandma: Gran-dma
ticket: tic-ket
animal: a-ni-mal
somehow: so-mehow
following: fol-lo-wing
knowing: kno-wing
career: ca-reer
nature: na-ture
However: Ho-we-ver
responsible: res-pon-si-ble
famous: fa-mous
correct: cor-rect
allowed: al-lowed
bringing: brin-ging
hearing: hea-ring
singing: sin-ging
account: ac-count
common: com-mon
afford: af-ford
Chinese: Chi-nese
allow: al-low
belong: be-long
concerned: con-cerned
escape: es-cape
suspect: sus-pect
written: writ-ten
madam: ma-dam
operation: o-pe-ra-tion
faster: fas-ter
deserve: de-serve
danger: dan-ger
command: com-mand
stories: sto-ries
tickets: tic-kets
paying: pay-ing
hiding: hi-ding
Sunday: Sun-day
perfectly: per-fec-tly
whoever: whoe-v-er
Sarah: Sa-rah
beyond: bey-ond
student: stu-dent
jury: ju-ry
program: pro-gram
Papa: Pa-pa
Martin: Mar-tin
horrible: hor-ri-ble
kinda: kin-da
natural: na-tural
battle: bat-tle
breaking: brea-king
ugly: u-gly
Phoebe: Phoe-be
settle: set-tle
Although: Alt-hough
opinion: o-pi-nion
Washington: Was-hing-ton
terrific: ter-ri-fic
older: ol-der
According: Ac-cor-ding
gentleman: gen-tle-man
Lucy: Lu-cy
noticed: no-ticed
local: lo-cal
lonely: lo-nely
Otherwise: Ot-her-wise
devil: de-vil
video: vi-d-eo
military: mi-li-ta-ry
Chicago: Chi-ca-go
shower: sho-wer
opportunity: op-por-tu-ni-ty
horses: hor-ses
biggest: big-gest
Eric: E-ric
records: re-cords
indeed: in-deed
weapons: wea-pons
invited: in-vi-ted
turning: tur-ning
attorney: at-tor-ney
pretend: pre-tend
Vegas: Ve-gas
manager: ma-na-ger
itself: i-tself
fantastic: fan-tas-tic
numbers: num-bers
princess: prin-cess
island: i-sland
easier: ea-si-er
color: co-lor
earlier: ear-li-er
naked: na-ked
suggest: sug-gest
letting: let-ting
nowhere: now-here
Merry: Mer-ry
Weli: We-li
animals: a-ni-mals
ideas: i-de-as
soldier: sol-dier
downstairs: downs-tairs
monster: mons-ter
several: se-veral
planet: pla-net
insane: in-sane
fellas: fel-las
Walter: Wal-ter
